time,job ID,event type,scheduling class
97943674397,6259756811,4,0
97943674822,6259753484,4,0
97945445318,6259772813,0,2
97946613144,6259753510,1,0
97950974369,6259772813,1,2
97950974373,6259773500,0,0
97951073654,6259704697,4,0
97957956150,6259776598,0,2
97960747777,6259289215,0,1
97960819529,6259766272,0,1
97960822191,6259772732,0,2
97960828199,6257719897,0,1
97960830263,6259760211,0,2
97960848193,6259771160,0,2
97960859023,6259764943,0,2
97965238356,6259707382,4,2
97965238549,6259707479,5,0
97966723556,6259733678,4,0
97966723559,6259733983,0,0
97966725761,6259333182,4,2
97966725797,6259333662,5,0
97968128967,6259737088,3,1
97969481703,6257719897,1,1
97969481733,6259760211,1,2
97969481738,6259765271,0,0
97969482763,6259764943,1,2
97969482767,6259765168,0,0
97969482768,6259769256,0,0
97969482982,6259771160,1,2
97969482986,6259772631,0,0
97969483094,6259289215,1,1
97969483119,6259772732,1,2
97969483123,6259776600,0,2
97969483194,6259766272,1,1
97973230674,6259735433,4,0
97973230678,6259733676,4,2
97973230685,6259737132,1,2
97973230733,6259736514,5,0
97973230738,6259737132,5,2
97973231314,6259698765,4,2
97973231363,6259698893,5,0
97973231368,6259698963,5,0
97973231373,6259702202,5,2
97977302113,6259765168,1,0
97977303304,6259765271,1,0
97977357170,6259769256,1,0
97977359872,6259772631,1,0
97977363244,6259733983,1,0
97981664088,6259704663,4,2
97981664307,6259704738,5,0
97981664312,6259705756,5,0
97981664317,6259707380,5,2
97984535093,6259704750,4,2
97984535334,6259706271,5,0
97984535339,6259707418,5,2
97988693254,6259773436,0,0
97988695992,6259773720,0,0
97988698073,6259773611,0,2
97988701378,6259779364,0,0
97988706235,6259220410,4,1
98001783151,6259552856,4,1
98004933079,6259664304,4,2
98006142939,6259773611,1,2
98006142943,6259773773,0,0
98006142944,6259776596,0,2
98006142976,6259779364,1,0
98006142995,6259773436,1,0
98006143020,6259773720,1,0
98006303719,6259664340,4,2
98010050817,6259773773,1,0
98014047970,6259797621,0,2
98024796306,6259797621,1,2
98024796310,6259797836,0,0
98024796311,6259797935,0,0
98024912517,6259289215,4,1
98027326940,6259552858,0,1
98027333314,6259813211,0,2
98027341371,6259818634,0,2
98028649415,6259735436,4,1
98029875928,6259797836,1,0
98029875959,6259797935,1,0
98032311023,6259766272,4,1
98035593703,6259813211,1,2
98035593727,6259818634,1,2
98035593731,6259822506,0,2
98035593740,6259552858,1,1
98035804028,6259733983,4,0
98039991775,6259822506,1,2
98045780746,6259824393,0,0
98047143373,6259824484,0,1
98048507263,6259824514,0,1
98048644917,6259089830,5,1
98048714562,6259824517,0,1
98050462309,6259825967,0,1
98053863480,6259818974,0,0
98055332761,6259824393,1,0
98055339279,6259715568,1,2
98055339298,6259750099,1,0
98055339348,6259753481,1,2
